DATE,ATNHPIUS45500Q
1992-04-01,90.92
1992-07-01,91.25
1992-10-01,91.90
1993-01-01,91.71
1993-04-01,93.17
1993-07-01,95.78
1993-10-01,94.60
1994-01-01,93.99
1994-04-01,96.86
1994-07-01,98.18
1994-10-01,94.81
1995-01-01,100.00
1995-04-01,101.12
1995-07-01,101.37
1995-10-01,101.24
1996-01-01,100.95
1996-04-01,103.27
1996-07-01,102.40
1996-10-01,104.38
1997-01-01,104.17
1997-04-01,105.55
1997-07-01,106.21
1997-10-01,106.93
1998-01-01,108.52
1998-04-01,107.84
1998-07-01,110.79
1998-10-01,110.14
1999-01-01,109.73
1999-04-01,110.55
1999-07-01,108.40
1999-10-01,108.18
2000-01-01,111.21
2000-04-01,113.33
2000-07-01,115.17
2000-10-01,113.64
2001-01-01,116.80
2001-04-01,118.79
2001-07-01,119.85
2001-10-01,121.72
2002-01-01,120.04
2002-04-01,123.70
2002-07-01,127.36
2002-10-01,126.54
2003-01-01,127.11
2003-04-01,128.16
2003-07-01,128.32
2003-10-01,128.86
2004-01-01,131.63
2004-04-01,134.46
2004-07-01,135.85
2004-10-01,134.15
2005-01-01,138.65
2005-04-01,141.76
2005-07-01,140.02
2005-10-01,142.24
2006-01-01,142.92
2006-04-01,144.68
2006-07-01,149.02
2006-10-01,145.98
2007-01-01,146.88
2007-04-01,147.95
2007-07-01,154.86
2007-10-01,155.09
2008-01-01,151.84
2008-04-01,152.95
2008-07-01,155.80
2008-10-01,153.56
2009-01-01,156.39
2009-04-01,157.38
2009-07-01,158.04
2009-10-01,152.25
2010-01-01,155.80
2010-04-01,155.99
2010-07-01,157.85
2010-10-01,157.08
2011-01-01,161.46
2011-04-01,159.18
2011-07-01,156.78
2011-10-01,158.75
2012-01-01,161.15
2012-04-01,157.48
2012-07-01,159.89
2012-10-01,162.20
2013-01-01,158.97
2013-04-01,161.64
2013-07-01,161.70
2013-10-01,160.29
2014-01-01,163.76
2014-04-01,161.40
2014-07-01,161.35
2014-10-01,165.61
2015-01-01,165.36
2015-04-01,164.83
2015-07-01,168.53
2015-10-01,165.82
2016-01-01,167.12
2016-04-01,174.29
2016-07-01,172.21
2016-10-01,171.06
2017-01-01,172.91
2017-04-01,178.88
2017-07-01,173.61
2017-10-01,171.76
2018-01-01,180.45
2018-04-01,177.45
2018-07-01,182.44
2018-10-01,179.09
2019-01-01,184.73
2019-04-01,185.30
2019-07-01,187.74
2019-10-01,192.51
2020-01-01,191.83
2020-04-01,193.14
2020-07-01,201.35
2020-10-01,203.25
2021-01-01,205.08
2021-04-01,212.29
2021-07-01,228.41
2021-10-01,231.87
2022-01-01,237.30
2022-04-01,262.68
2022-07-01,270.36
2022-10-01,270.11
2023-01-01,267.79
2023-04-01,276.78
