DATE,TEXPOP
1970-01-01,101.198
1971-01-01,103.100
1972-01-01,103.600
1973-01-01,103.100
1974-01-01,104.200
1975-01-01,107.700
1976-01-01,108.900
1977-01-01,109.600
1978-01-01,110.100
1979-01-01,112.100
1980-01-01,113.067
1981-01-01,114.324
1982-01-01,115.399
1983-01-01,117.527
1984-01-01,118.245
1985-01-01,119.271
1986-01-01,119.775
1987-01-01,120.103
1988-01-01,120.789
1989-01-01,119.860
1990-01-01,120.132
1991-01-01,121.285
1992-01-01,122.364
1993-01-01,123.857
1994-01-01,125.290
1995-01-01,126.220
1996-01-01,127.694
1997-01-01,128.258
1998-01-01,128.718
1999-01-01,129.486
2000-01-01,129.681
2001-01-01,129.861
2002-01-01,130.177
2003-01-01,130.750
2004-01-01,131.513
2005-01-01,132.227
2006-01-01,133.903
2007-01-01,134.465
2008-01-01,135.981
2009-01-01,137.486
2010-01-01,149.346
2011-01-01,149.558
2012-01-01,149.68
2013-01-01,149.607
2014-01-01,149.361
2015-01-01,149.421
2016-01-01,149.786
2017-01-01,149.83
2018-01-01,149.71
2019-01-01,149.243
2020-01-01,147.478
2021-01-01,146.744
2022-01-01,146.408
